--- Terminal on /dev/cu.usbmodem2101 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
15->16 dist=3
503762,0,66,75,1510,21428,20,5188,8990,2.000000,21428
503763,0,70,77,1551,21428,20,5188,9233,2.000000,21428
503764,0,68,79,1592,21428,20,5188,9478,2.000000,21428
503765,0,80,81,1630,21428,20,5188,9703,2.000000,21428
503766,0,69,83,1671,21428,20,5188,9950,2.000000,21428
503767,0,74,85,1712,21428,20,5188,10195,2.000000,21428
503768,0,70,87,1753,21428,20,5188,10439,2.000000,21428
503769,0,69,89,1793,21428,20,5188,10676,2.000000,21428
503770,0,67,91,1833,21428,20,5188,10911,2.000000,21428
503771,0,73,93,1873,21428,20,5188,11154,2.000000,21428
503772,0,70,95,1915,21428,20,5188,11400,2.000000,21428
503773,0,74,97,1954,21428,20,5188,11635,2.000000,21428
503774,0,73,99,1994,21428,20,5188,11871,2.000000,21428
503775,0,70,101,2037,21428,20,5188,12125,2.000000,21428
503776,0,67,103,2077,21428,20,5188,12367,2.000000,21428
503777,0,69,105,2117,21428,20,5188,12602,2.000000,21428
503778,0,66,107,2157,21428,20,5188,12839,2.000000,21428
503779,0,82,109,2195,21428,20,5188,13071,2.000000,21428
503780,0,83,111,2236,21428,20,5188,13314,2.000000,21428
BOUNDARY_FLICKER: arm2 frame=503782 angle=2520 pat=13->14 dist=0
503781,0,172,114,2280,21428,20,5188,13573,2.000000,21428
503782,0,77,116,2336,21428,20,5188,13905,2.000000,21428
503783,0,73,118,2379,21428,20,5188,14163,2.000000,21428
503784,0,69,121,2420,21428,20,5188,14408,2.000000,21428
BOUNDARY_FLICKER: arm2 frame=503786 angle=2700 pat=14->15 dist=0
503785,0,171,123,2460,21428,20,5188,14643,2.000000,21428
503786,0,66,125,2515,21428,20,5188,14970,2.000000,21428
503787,0,74,127,2558,21428,20,5188,15228,2.000000,21428
503788,0,68,130,2600,21428,20,5188,15477,2.000000,21428
FLICKER@288: arm2 frame=503790 angle=2880 pat=15->16 dist=0
503789,0,131,132,2640,21428,20,5188,15714,2.000000,21428
503790,0,65,134,2689,21428,20,5188,16009,2.000000,21428
503791,0,70,136,2730,21428,20,5188,16254,2.000000,21428
FLICKER@288: arm0 frame=503793 angle=2893 pat=15->16 dist=13
503792,0,133,138,2773,21428,20,5188,16506,2.000000,21428
BOUNDARY_FLICKER: arm2 frame=503794 angle=3062 pat=16->17 dist=2
503793,0,172,141,2822,21428,20,5188,16800,2.000000,21428
FLICKER@288: arm1 frame=503795 angle=2881 pat=15->16 dist=1
503794,0,133,144,2881,21428,20,5188,17152,2.000000,21428
503795,0,82,146,2930,21428,20,5188,17444,2.000000,21428
503796,0,65,148,2972,21428,20,5188,17694,2.000000,21428
503797,0,73,150,3011,21428,20,5188,17926,2.000000,21428
503798,0,67,152,3053,21428,20,5188,18175,2.000000,21428
503799,0,76,154,3093,21428,20,5188,18415,2.000000,21428
503800,0,67,156,3134,21428,20,5188,18658,2.000000,21428
503801,0,69,158,3173,21428,20,5188,18889,2.000000,21428
503802,0,67,160,3215,21428,20,5188,19141,2.000000,21428
503803,0,70,162,3255,21428,20,5188,19379,2.000000,21428
503804,0,78,164,3295,21428,20,5188,19615,2.000000,21428
503805,0,73,166,3336,21428,20,5188,19861,2.000000,21428
503806,0,71,168,3379,21428,20,5188,20113,2.000000,21428
503807,0,69,170,3419,21428,20,5188,20354,2.000000,21428
503808,0,66,173,3460,21428,20,5188,20596,2.000000,21428
503809,0,73,174,3499,21428,20,5188,20828,2.000000,21428
BOUNDARY_FLICKER: arm2 frame=503811 angle=180 pat=0->1 dist=0
503810,0,136,177,3540,21428,20,5188,21073,2.000000,21428
503811,0,67,179,3590,21428,20,5188,21373,2.000000,21428
503812,0,77,1,30,21428,20,5189,181,2.000000,21428
503813,0,66,3,67,21428,20,5189,404,2.000000,21428
503814,0,66,5,105,21428,20,5189,625,2.000000,21428
503815,0,78,7,140,21428,20,5189,839,2.000000,21428
BOUNDARY_FLICKER: arm1 frame=503817 angle=180 pat=0->1 dist=0
503816,0,118,9,180,21428,20,5189,1077,2.000000,21428
503817,0,66,11,226,21428,20,5189,1346,2.000000,21428
503818,0,67,13,262,21428,20,5189,1565,2.000000,21428
BOUNDARY_FLICKER: arm2 frame=503820 angle=541 pat=2->3 dist=1
503819,0,126,15,301,21428,20,5189,1792,2.000000,21428
503820,0,62,17,351,21428,20,5189,2090,2.000000,21428
503821,0,70,19,387,21428,20,5189,2305,2.000000,21428
BOUNDARY_FLICKER: arm0 frame=503823 angle=544 pat=2->3 dist=4
503822,0,137,21,424,21428,20,5189,2525,2.000000,21428
503823,0,66,23,473,21428,20,5189,2819,2.000000,21428
503824,0,66,25,513,21428,20,5189,3057,2.000000,21428
503825,0,66,27,549,21428,20,5189,3272,2.000000,21428
503826,0,65,29,586,21428,20,5189,3493,2.000000,21428
503827,0,70,31,624,21428,20,5189,3719,2.000000,21428
BOUNDARY_FLICKER: arm2 frame=503829 angle=903 pat=4->5 dist=3
503828,0,129,33,663,21428,20,5189,3947,2.000000,21428
503829,0,66,35,710,21428,20,5189,4227,2.000000,21428
503830,0,67,37,747,21428,20,5189,4452,2.000000,21428
503831,0,68,39,786,21428,20,5189,4682,2.000000,21428
503832,0,66,41,823,21428,20,5189,4900,2.000000,21428
503833,0,69,43,863,21428,20,5189,5137,2.000000,21428
BOUNDARY_FLICKER: arm1 frame=503835 angle=901 pat=4->5 dist=1
503834,0,124,45,901,21428,20,5189,5363,2.000000,21428
